Hostel name,Type,Area and city,Full address as listed,Phone number(s),WhatsApp or Viber number,Email,Website,Facebook page URL,Contact person name,Google Maps rating and number of reviews,Approximate size,Source URL(s)
The Basera Boys' Hostel,Boys,"Gwarko, Lalitpur","Near Gwarko Chowk, Lalitpur 44700",+977 976-1158651,+977 976-1158651,Not found,Not found,Not found,Not found,4.9 (16 reviews),"Bright, well-ventilated rooms with strict discipline and high hygiene standards",https://maps.google.com
New Pathibhara Boys Hostel,Boys,"Balkumari, Lalitpur","Ring Rd, Balkumari, Lalitpur 44600",+977 984-0549493,Not found,Not found,Not found,Not found,Not found,4.9 (38 reviews),"Close to Kathford Engineering College and NCIT; open sunny rooms, laundry, Wi-Fi",https://maps.google.com
Shree Boys Hostel Balkumari,Boys,"Balkumari, Lalitpur","Sahid Sukraraj Marg, Balkumari, Lalitpur 44700",+977 970-4519868,Not found,Not found,Not found,Not found,Not found,4.4 (42 reviews),"Ideal for KMC Lalitpur and Asian College students, high-speed internet, balanced diet",https://maps.google.com
STAR HOSTEL Gents & Girls Gwarko,Boys & Girls,"Gwarko, Lalitpur","Harit Colony, Prasiddhinagar-17, Gwarko, Lalitpur 44700",+977 985-6030848,Not found,Not found,Not found,Not found,Not found,4.8 (38 reviews),"Multi-block facility with separate boys and girls sections, scheduled meals, Wi-Fi",https://maps.google.com
Gwarko Lisara Boys Hostel,Boys,"Gwarko, Lalitpur","Gwarko Chowk, Lalitpur 44700",+977 985-1427455,Not found,Not found,Not found,Not found,Not found,4.4 (25 reviews),"24-hour hot and cold water, family atmosphere, central transit convenience",https://maps.google.com
Mohini Boys Hostel Pvt. Ltd,Boys,"Balkumari, Lalitpur","Bojepokhari Marg, Balkumari, Lalitpur 44600",+977 984-9246173,Not found,Not found,Not found,Not found,Not found,4.1 (29 reviews),"Quiet study setting, warm community atmosphere, balanced meal menu",https://maps.google.com
Gwarko Lisara Girls Hostel,Girls,"Gwarko, Lalitpur","Gwarko Chowk (Between Gwarko Complex & Global Hospital), Lalitpur 44700","+977 985-1427455, +977 985-1425855",Not found,Not found,Not found,https://www.facebook.com/p/Gwarko-girls-hostel-61578605912463/,Not found,5.0 (64 reviews),"Key-card security, individual lockers, inverter backup, 1 to 4 seater room choices",https://maps.google.com
Maa Santoshi Girls & Boys Hostel,Boys & Girls,"Balkumari / Imadol, Lalitpur","Near KIST Medical College, Balkumari / Imadol link, Lalitpur 44700",+977 985-1059869,+977 985-1059869,Not found,https://www.maasantoshihostel.com.np/,Not found,Not found,4.9 (36 reviews),"Tailored accommodation for KIST Medical College and engineering students, caring owners",https://www.maasantoshihostel.com.np/
S&S Girl's Hostel,Girls,"Gwarko, Lalitpur","2 Pragati Marg, Gwarko, Lalitpur 44700","+977 984-1898651, +977 981-3737334",Not found,Not found,Not found,Not found,Not found,4.6 (29 reviews),"4-time daily meals, CCTV surveillance, logbook check, desk and rack per student",https://maps.google.com
Aashara Girls Hostel,Girls,"Balkumari, Lalitpur","Buddhi Binayak Marg, Balkumari, Lalitpur 44600",+977 984-1855810,Not found,Not found,Not found,Not found,Not found,3.9 (23 reviews),"Homely family atmosphere, affordable student pricing, convenient college access",https://maps.google.com
